player_sum,dealer_card,usable_ace,q_value
18,1,0,[-0.38220794 -0.4674103  -0.1765591  -0.1764381  -0.17814726]
28,1,0,[0. 0. 0. 0. 0.]
10,4,0,[-0.04992109  0.315981    0.003998   -0.00299251 -0.00994616]
4,5,0,"[-2.86584209e-06  4.74277852e-02  5.91533724e-06 -3.98602797e-03
 -1.39600560e-02]"
23,9,0,[0. 0. 0. 0. 0.]
27,9,0,[0. 0. 0. 0. 0.]
28,8,0,[0. 0. 0. 0. 0.]
19,8,0,[ 0.59649217 -0.26110746  0.          0.          0.        ]
13,1,1,[-0.03521145  0.0439556   0.          0.          0.        ]
19,3,1,[0.34879286 0.02010885 0.         0.         0.        ]
7,8,0,[-0.05609114  0.05808964  0.          0.          0.        ]
17,6,1,[0.00222548 0.12590865 0.         0.         0.        ]
24,1,0,[0. 0. 0. 0. 0.]
18,6,1,[0.01831373 0.19015875 0.         0.         0.        ]
11,2,0,[-0.03185675  0.33486487  0.          0.          0.        ]
27,7,0,[0. 0. 0. 0. 0.]
19,2,1,[0.03278547 0.21927254 0.         0.         0.        ]
6,10,0,[-0.17354684 -0.15947688 -0.16867101 -0.16591132 -0.16752922]
10,7,0,[-0.09418135  0.37352569  0.00201092 -0.00497756 -0.00198012]
8,5,0,[-0.01914955  0.12832882 -0.00495728 -0.00398603 -0.00997405]
14,7,1,[-0.01589979  0.14452489  0.          0.          0.        ]
8,7,0,[-0.04915296  0.20536388  0.00299301 -0.00794028  0.0059641 ]
31,6,0,[0. 0. 0. 0. 0.]
11,8,0,[-0.11453381  0.38847838  0.          0.          0.        ]
26,8,0,[0. 0. 0. 0. 0.]
10,8,0,[-0.09955804  0.34740363 -0.01091632 -0.00299251 -0.00796207]
19,2,0,[ 0.37871675 -0.20161956  0.          0.          0.        ]
21,2,0,[ 0.84130445 -0.14858318  0.          0.          0.        ]
9,9,0,[-0.07897722  0.09131689  0.          0.          0.        ]
18,9,1,[-0.01053435  0.04188943  0.          0.          0.        ]
25,9,0,[0. 0. 0. 0. 0.]
24,8,0,[0. 0. 0. 0. 0.]
21,6,1,[0.84876599 0.06675875 0.         0.         0.        ]
18,10,1,[-0.08053999 -0.06491198  0.          0.          0.        ]
21,9,1,[0.88210208 0.06075531 0.         0.         0.        ]
30,9,0,[0. 0. 0. 0. 0.]
11,1,0,[-0.16969688  0.1480913   0.          0.          0.        ]
12,5,1,[-0.00100102  0.10214749  0.00200598 -0.00596711  0.005994  ]
19,7,1,[0.52928715 0.02748271 0.         0.         0.        ]
28,6,0,[0. 0. 0. 0. 0.]
